doc_type,doc_id,num,date_str,description,url_metadata,lang,newspaper_id,time_ut,source
lk_news,2025-09-10-dailyftlk-c05f1aa5,dailyftlk-c05f1aa5,2025-09-10,"CMA Sri Lanka to host Silver Jubilee international conference on AI impact on policy, stability and growth",https://www.ft.lk/business/CMA-Sri-Lanka-to-host-Silver-Jubilee-international-conference-on-AI-impact-on-policy-stability-and-growth/34-781456,en,dailyftlk,1757461641.0,ft.lk
lk_news,2025-09-10-dailyftlk-7765af86,dailyftlk-7765af86,2025-09-10,Saudi Transport and Logistics Minister receives Minister Bimal Rathnayake,https://www.ft.lk/business/Saudi-Transport-and-Logistics-Minister-receives-Minister-Bimal-Rathnayake/34-781458,en,dailyftlk,1757462002.0,ft.lk
lk_news,2025-09-10-dailyftlk-293e6f75,dailyftlk-293e6f75,2025-09-10,ITAK slams Govt. over human rights response at UNHRC,https://www.ft.lk/news/ITAK-slams-Govt-over-human-rights-response-at-UNHRC/56-781465,en,dailyftlk,1757462936.0,ft.lk
lk_news,2025-09-10-adaderanalk-42fb0598,adaderanalk-42fb0598,2025-09-10,India extends Rs. 600M grant for new A&E Unit at Mannar Hospital,https://www.adaderana.lk/news/112344/india-extends-rs-600m-grant-for-new-ae-unit-at-mannar-hospital,en,adaderanalk,1757473980.0,adaderana.lk
lk_news,2025-09-10-adaderanalk-4ebc92f3,adaderanalk-4ebc92f3,2025-09-10,73 Sri Lankan pilgrims await departure at India–Nepal border: Foreign Ministry,https://www.adaderana.lk/news/112346/73-sri-lankan-pilgrims-await-departure-at-indianepal-border-foreign-ministry-,en,adaderanalk,1757480100.0,adaderana.lk
lk_news,2025-09-10-adaderanalk-a250b402,adaderanalk-a250b402,2025-09-10,73 Sri Lankan pilgrims safely cross Nepal-India border,https://www.adaderana.lk/news/112346/73-sri-lankan-pilgrims-safely-cross-nepal-india-border,en,adaderanalk,1757480100.0,adaderana.lk
lk_news,2025-09-10-adaderanalk-fa0690bb,adaderanalk-fa0690bb,2025-09-10,Polish military accuses Moscow of ‘act of aggression’ after shooting down Russian drones in its airspace,https://www.adaderana.lk/news/112348/polish-military-accuses-moscow-of-act-of-aggression-after-shooting-down-russian-drones-in-its-airspace,en,adaderanalk,1757482380.0,adaderana.lk
lk_news,2025-09-10-adaderanalk-078cc644,adaderanalk-078cc644,2025-09-10,Burning down the parliament and court a ‘great disrespect’ to Nepal’s democracy – Ranil,https://www.adaderana.lk/news/112353/burning-down-the-parliament-and-court-a-great-disrespect-to-nepals-democracy-ranil-,en,adaderanalk,1757492340.0,adaderana.lk
lk_news,2025-09-10-adaderanalk-97497e83,adaderanalk-97497e83,2025-09-10,Owner of bus involved in fatal Ella crash granted bail,https://www.adaderana.lk/news/112357/owner-of-bus-involved-in-fatal-ella-crash-granted-bail,en,adaderanalk,1757496300.0,adaderana.lk
lk_news,2025-09-10-adaderanalk-6a8a1c44,adaderanalk-6a8a1c44,2025-09-10,Rs. 500M allocated to upgrade science labs in schools across the country,https://www.adaderana.lk/news/112363/rs-500m-allocated-to-upgrade-science-labs-in-schools-across-the-country,en,adaderanalk,1757502540.0,adaderana.lk
